168.6666667[h]	354	468	441	390	354	468	441	390	354	468	407 	390	354	468	441	390	354	468	441	441	
153.3333333[h]	404	417	407	390	404	417	407	390	404	417	407	390	404	417	407	390	404	417	407	441	
168.6666667[h]	393	458	449	380	393	458	449	380	393	458	449	380	393	458	449	380	393	458	449	441	
153.3333333[h]	342	458	438	354	342	458	438	354	342	458	438	354	342	458	438	354	342	458	438	441	
145.6666667[h]	379	490	449	332	379	490	449	332	379	490	449	332	379	490	449	332	379	490	449	441	
161.0000000[h]	390	438	441	390	390	438	441	390	390	438	441	390	390	438	441	390	390	438	441	441	
168.6666667[h]	401	433	429	367	401	433	429	367	401	433	429	367	401	433	429	367	401	433	429	441	
168.6666667[h]	403	463	417	392	403	463	417	392	403	463	417	392	403	463	417	392	403	463	417	441	
153.3333333[h]	412	485	439	389	412	485	439	389	412	485	439	389	412	485	439	389	412	485	439	441	
176.3333333[h]	421	493	470	398	421	493	470	398	421	493	470	398	421	493	470	398	421	493	470	441	
161.0000000[h]	399	520	461	404	399	520	461	404	399	520	461	404	399	520	461	404	399	520	461	441	
153.3333333[h]	388	490	452	386	388	490	452	386	388	490	452	386	388	490	452	386	388	490	452	441	
